job_title,address,employment_type,seniority,min_experience,job_categories,salary_type,salary_range,job_description,job_skills
"Software Engineer (Data Express), Data Platform",1 RAFFLES QUAY 048583,Full Time,Professional,3 years exp,Information Technology,Monthly,"$6,500to$13,000","3About TikTok
TikTok is the leading destination for short-form mobile video. Our mission is to inspire creativity and bring joy. TikTok has global offices including Los Angeles, New York, London, Paris, Berlin, Dubai, Singapore, Jakarta, Seoul, and Tokyo.

Why Join Us
At TikTok, our people are humble, intelligent, compassionate and creative. We create to inspire - for you, for us, and for more than 1 billion users on our platform. We lead with curiosity and aim for the highest, never shying away from taking calculated risks and embracing ambiguity as it comes. Here, the opportunities are limitless for those who dare to pursue bold ideas that exist just beyond the boundary of possibility. Join us and make impact happen with a career at TikTok.

About the team
TikTok and affiliate are developing the next-generation high-performance analytical database, with a mission to enable efficient and real-time data-driven decision-making on PB-level data sets. The initial product was forked from Clickhouse, after which large re-architecture had been taken place. The product now not only improves the efficiency of Clickhouse but also fits into the elastic cloud-native infrastructure with better scalability and resource utilization. With years of polishment in the internal EB-level scenarios, we are now ready to serve our business partners via various cloud vendors.

The product will:
- Enable users to manage large scale data assets in the underlying data engine securely and effortlessly
- Improve the overall system observability, helping our users gain more transparency in the healthiness, resource utilization of the system

What you will be doing:
- Responsible for building core functionalities in the data loading domain
- Drive the design, development, and delivery of data loading features to integrate with mainstream upstream ecosystems
- Lead the optimization of both streaming and batch loading engines to provide low-latency and high-throughput in respective scenarios
- Lead the solution design on data loading resource management over hundreds of thousands of loading jobs
- Ensure service quality through the whole software development lifecycle

Qualifications

What you should have:
- Bachelor's Degree or Post Graduate in Computer Science.
- At least 3 years of backend experience
- Good coding skills in mainstream languages such as GoLang, Java, or Scala
- Good domain knowledge of ETL and data warehousing
- In-depth knowledge in distributed real-time or batch data processing systems, such as Spark, Flink, Kafka, etc
- Experience in optimizing systems like Spark, Flink, Storm, Kafka.
- Knowledge of big data ecosystems such as Kafka, Redpanda, Kinesis, Redshift, Hive is a plus
- Good communication and interpersonal skills

TikTok is committed to creating an inclusive space where employees are valued for their skills, experiences, and unique perspectives. Our platform connects people from across the globe and so does our workplace. At TikTok, our mission is to inspire creativity and bring joy. To achieve that goal, we are committed to celebrating our diverse voices and to creating an environment that reflects the many communities we reach. We are passionate about this and hope you are too.","['Apache Spark', 'Scalability', 'Scala', 'Big Data', 'Data Engineering', 'Spark', 'Distributed Systems', 'Apache Kafka', 'Java', 'C#', 'Data Warehousing', 'Databases']"
 , , , , , , , , , 
 , , , , , , , , , 
 , , , , , , , , , 
Data Protection Officer,17 CHANGI SOUTH STREET 2 486129,"Permanent, Full Time",Executive,4 years exp,"Accounting / Auditing / Taxation, Admin / Secretarial, Legal, Logistics / Supply Chain, Professional Services",Monthly,"$3,850to$5,000","General Job Description: 
• Reports to Head, HSSE, Trade Compliance and Privacy
• Responsible for supporting the company’s Personal Data Protection Management Programme in compliance with the Personal Data Protection Act (PDPA).
• Ensuring company’s processes are in line with the Global Directives. 
• Ensuring organization’s compliance to the PDPA by monitoring, conducting data protection audits, analyzing audit findings and proposing changes to address identified gaps. 
• Responsible for the development of Data Protection Policies and Procedures. 
• To conduct Data Protection Impact Assessments (DPIA) to identify, assess and address business risks, based on the organisation’s functions, needs and processes.
• Propose appropriate measures to manage risks associated with the collection, use, disclosure and storage of personal data.
• Manage and report all suspected and / or confirmed data breaches in accordance with the data breach management plan
• Assist in preparing notifications to affected individuals, senior management and regulatory authorities in the event of data breaches.
• Document data breach incidents and post-breach responses in accordance with the data breach response plan.
• Support the data incident response and data breach notification procedures.
• Assist in the conduct of investigations relating to data protection breaches and ensure proper closure of investigations and complaints. 
• Maintain the organisation’s awareness of PDPA requirements by keeping abreast of PDPA requirements and 
amendments to regulations and guidelines. 
• To raise awareness on PDPA and fostering a data protection culture, provide scheduled training for all staffs on PDPA requirements, regulations and guidelines. 
• Provide appropriate advice to staff on the organisation’s data protection policies and procedures.
• Handles queries, complaints and disputes on the organisation’s management of personal data.
• Respond to queries that may arise in the organization’s collection, use and/or disclosure of personal data.
• Maintain logs of queries, complaints and disputes relating to the organisation’s collection, use and/or disclosure of personal data.
• Analyse and escalate complaints and disputes relating to the organisation’s management of personal data and respond with remedial action.
• Ensure a balanced approach in resolving data protection and data innovation issues.
• Participate in data innovation projects to provide guidance on regulatory and compliance requirements.
• Act as the organisation’s subject matter expert in data protection matters and provide strategic opinion when required.
• Other duties as and when assigned by HOD

Specific Accountability: 
• Ensure organization’s compliance to the PDPA
• Manage risks associated with collection, use, disclosure and storage of personal data.
• Drive PDPA requirements in the organization.
• Advise on data innovation projects in the organization.

Skills Required: 
• At least Diploman / Degree holder from a recognized institution
• Recognized Data Protection certification such as Advanced Certificate in Data Protection Operational Excellence
• Able to work in a multi-cultural environment

Experience and Qualification:
• Good understanding and application of PDPA 
• At least 4 years of experience focused on data privacy in Singapore
• Able to work independently
• Keen attention to detail
• Excellent written and verbal communications skills in English
• Knowledge in information security
• Good negotiation and influencing skill
• Good understanding of GDPR 
• CIPP certifications with sound understanding in the supply chain industry will have added advantage","['Negotiation', 'Information Security', 'Operational Excellence', 'Legislation', 'Supply Chain', 'Compliance', 'Attention to Detail', 'Trade Compliance', 'Employee Training', 'Audits', 'Accountability', 'Legal Compliance', 'Data Protection Management', 'Audit', 'Able To Work Independently']"
Data Privacy Specialist,"PARKVIEW SQUARE, 600 NORTH BRIDGE ROAD 188778",Full Time,Junior Executive,2 years exp,Information Technology,Monthly,"$3,300to$6,000","Your role:
· Review the personal data life cycle for clients
· Highlight areas of non-compliance to PDPA, GDPR or other relevant data privacy laws
· Formulate cost effective and business friendly solutions for personal data control gaps
· Draft reports and present to senior management
· Act as data protection officer for the Firm
· Assist in other ad-hoc governance and risk management projects

Your expertise:
· Academic degree in relevant area, such as Accountancy, Business Administration or Law.
· At least 2 years proven relevant experience in data privacy or related area, preferably with leading institutions, business consultancies or supervisory authorities.
· Deep knowledge of major Data Privacy and Security Laws and ability to translate requirements into operational implications
· Certification by the International Association of Privacy Professionals (IAPP) is a plus.
· Excellent verbal and written communication and presentation skills.","['Microsoft Excel', 'Invention', 'Teamorientated', 'Cyber Security', 'Interpersonal Skills', 'Trusting Relationships', 'Investigation', 'Risk Management', 'Administration', 'Written Communication', 'Data Entry', 'Project Management', 'Legal Advice', 'Communication Skills', 'Presentation Skills', 'Human Resources']"
Data Scientist,"PLAZA 8 @ CBP, 1 CHANGI BUSINESS PARK CRESCENT 486025",Contract,Senior Executive,5 years exp,Information Technology,Monthly,"$10,000to$12,000","This is a 12-month fixed-term contract role.
Product leadership: You will use data to shape product development, quantify new opportunities, identify upcoming challenges, and ensure the products we build bring value to people, businesses, and the company. You will help your partner teams prioritize what to build, set goals, and understand their product’s ecosystem.
Analytics: You will guide teams using data and insights. You will focus on developing hypotheses and employ a diverse toolkit of rigorous analytical approaches, different methodologies, frameworks, and technical approaches to test them.
Communication and influence: You won’t simply present data, but tell data-driven stories. You will convince and influence your partners using clear insights and recommendations. You will build credibility through structure and clarity, and be a trusted strategic partner.
Responsibilities:

Work with large and complex data sets to solve a wide array of challenging problems using different analytical and statistical approaches.
Apply technical expertise with quantitative analysis, experimentation, data mining, and the presentation of data to develop strategies for our products that serve billions of people and hundreds of millions of      businesses.
Identify and measure success of product efforts through goal setting, forecasting, and monitoring of key product metrics to understand trends.
Define, understand, and test opportunities and levers to improve the product, and drive roadmaps through your insights and recommendations.
Partner with Product, Engineering, and cross-functional teams to inform, influence, support, and execute product strategy and investment decisions.

Minimum Qualifications:

Bachelor’s degree (BA or BS)
4-6 years' experience in data and product analytics within the tech industry.
Intermediate proficiency in SQL and data visualization tools (e.g. Tableau, Python, etc.).
Problem-solving skills and experience collaborating with global XFN teams.

UEN: 199700895N","['Tableau', 'Liaising with cross functional teams', 'Data Analysis', 'Quantitative Analysis', 'problem solving skills', 'SQL', 'Python', 'Data Science', 'Data Analytics', 'Data Visualization', 'Product Analysis']"
Data Modeler,"21 COLLYER QUAY, 21 COLLYER QUAY 049320",Permanent,Professional,5 years exp,Others,Monthly,"$8,000to$16,000","Instructions for interested applicants
Please apply for this position via the following link https://aia.wd3.myworkdayjobs.com/en-US/amplifyhealthexternal/job/Senior-Data-Modeler_JR-35658-1
What you will do?
The role entails designing data models for the data platform layer, data cleansing layer, reporting and analytical layers within a cloud environment. Work closely with Data Scientists to understand model features and link back to transactional environment to understand data quality, data relationships and data availability. Document and define frameworks with the Data Engineer to build the data platform. Together these teams will enable data driven actionable insights.
The role is based in Singapore.
Core responsibilities include:

Analyse data sources
Design data model to support analytics and reporting
Support Data Engineers with ETL pipelines and Data Scientists with data understanding and model development
Profile new data sources in a variety of formats including Json, XML, etc
Define data quality rules with Data Scientists to clean data
Define data mapping and transformation rules between source and target
Documentation of data models for new data sources, metadata and productionized information flow

What skills do you need?
Behavioural skills

A passion for programming and working with data
Self-starter
Willingness to learn and grow exponentially
A restless curiosity in learning new technology
Ability to work cohesively in a team environment and balance multiple priorities
A team player who can work alone when required and without supervision
High level of attention to detail, resilience, enthusiasm, energy and drive
Positive, can-do attitude
Ethical and able to maintain confidentiality and manage boundaries

Technical understanding

Advanced to Expert knowledge in SQL – on any database platform
Modern datawarehouse design skills eg DataWarehouse, Data Lakehouse, Data Mesh, Data Vault
Experience working on large and complex datasets
Working with design tools eg Enterprise Architect, Power Designer
Working with Data Architects to design and implement solutions

Nice to have

Health Care or Health Insurance data experience
Strong communicator (verbal and written)

Qualifications
The following requirements are essential:

Honours or Master’s degree in BSc Computer Science
Other qualifications will also be considered if accompanied by the relevant experience
5 to 10 years of experience is preferred
","['Designer', 'JSON', 'XML', 'Erwin', 'Pipelines', 'Architect', 'Data Management', 'Architects', 'ETL', 'Data Quality', 'SQL', 'Data Architecture', 'Metadata', 'Health Insurance']"
"Data Steward Supervisor, OpenData (Vietnam)","MARINA BAY FINANCIAL CENTRE, 8 MARINA BOULEVARD 018981",Full Time,Senior Executive,1 year exp,"Education and Training, Information Technology, Others",Monthly,"$3,500to$6,500","Directly reporting to the OpenData Research Center Manager, we are looking for a Data Steward Supervisor who will be responsible for the direct supervision of data stewardship team members for the data offering in Vietnam.
You will also be responsible and retain all the responsibilities of a Data Steward, such as updating the attributes of records to improve core data, calling Group Practices, and updating provider affiliation information.
If you have a passion for data and quality – this is a great opportunity for you! Your role will be based in the Veeva Office in Singapore.

What You'll Do

Recruit, coach, motivate, appraise and retain team members
Deliver all necessary training to Data Stewards
Monitor, improve and give feedback on individual and team performance
Allocate work and resources to meet project deadlines
Design, document and optimise processes to ensure best-in-class delivery of data quality
Audit the data quality of Data Stewards
Ensure the team meets and exceeds productivity and quality standards
Run the daily operations in the Data Stewardship team
Report progress to direct line manager
Execute other duties and ad-hoc tasks related to data stewardship as assigned by the management

Requirements

BA/MA or equivalent degree
Vietnamese language is required for facilitating phone / web research validation to both build and maintain the product. (The data sources need to be either phone or web validated with the respective hospitals, clinics or pharmacies to ensure the data is accurate.)
Ability to learn quickly and independently
Problem solving and efficient time management skills
Proficiency in Windows, Google apps, MS Office and other office software
People and result oriented
Strong interpersonal skills
Highly organized, attention to detail and focus on quality
Able to balance qualitative and quantitative performance of the team
Able to motivate and communicate clearly
Able to meet expectations and project deadlines
Obtain and refresh the most current version of various data elements using standard methods of research such as verification through internet and outgoing phone calls
Apply new verified data elements to core database records
Assure that new data elements are not duplications of existing core data elements for Healthcare providers (HCP’s) and Healthcare Organisations (HCO’s)
Proactive maintenance of existing data and handling customer requests
Removal of incorrect data elements from core databases

Nice-to-have

Experience working with MDM (master data management applications)
Local Health Care market understanding
Knowledge of medical terminology and data quality standards within the life sciences industry
Previous experience or interest in data, databases
","['Coaching', 'Agile Project Management', 'Process Improvement', 'Interpersonal Skills', 'People and Performance Management', 'Medical Terminology', 'Problem Solving', 'Data Quality', 'Vietnamese', 'Stewardship', 'Project Timeline', 'Team Leadership', 'Attention to Detail', 'Time Management', 'Office Software', 'Life Sciences', 'Master Data Management', 'Databases', 'Ability To Learn']"
"Data Scientist Lead, SAPMENA","OCEAN FINANCIAL CENTRE, 10 COLLYER QUAY 049315",Permanent,Manager,10 years exp,Information Technology,Monthly,"$14,000to$18,000","Who are we?
At L’Oréal, there is never a dull day, the beauty lies in the freedom to go beyond with our empowering entrepreneurial culture. We take pride in developing young talents who have the passion and ambition to make an impact in the beauty industry. We currently offer a wide range of career opportunities for undergraduates and fresh graduates across the region.

SAPMENA (South Asia Pacific, Middle East & North Africa) is home to 40% of the world's population & some of the fastest-growing economies. Headquartered in Singapore, we have over 6,800 diverse talents in 15 subsidiaries with 34 International Brands, 4 factories & 2 research centres. As the leading beauty tech company, we offer endless exciting career opportunities.

You will:
In your role, you will be expected to understand business challenges and and build data products/statistical modelling solutions to tackle
them. You will have a critical role working with our stakeholders to make recommendations to the business.

Explore and choose the algorithms which have best performance

Develop, train and finetune the model

Work with ML engineers to support the industrialization
Responsible for engaging with key stakeholders within the organization, the Delivery Team, Data Engineers, BI Developers, analytics analyst, IT PMO and business to build an exceptional product.
Working closely with a product owner and effectively captures stakeholder assumptions and translates them into hypothesis driven outcomes.
Be accountable for the end-to-end results and delivery of your product
Collaborate with stakeholders on model/product launch communication, training and enablement and ongoing product adoption tactics, where applicable.
Support and champion, where applicable, ongoing initiatives driving data analytics culture
Act as a subject matter expert and provide guidance to the project team throughout the project.  This includes (but not limited to):
    
Knowing which sources of data to explore
Identifying and communicating the key trends, data limitations
Support scoping of the business problem out so that the project team can determine the best model/analysis/solution
Assess reasonability of the data and/or model prior to sharing with the key business stakeholders



You have:

Master or above degree in Computer Science, Machine Learning, Mathematics or Statistics

Strong mathematical and statistical knowledge
Experience in managing a team
10+ years of relevant experience, including the following areas:
    
Creating analytics models/products and delivering results
Implementing solutions for business preferably in consumer goods areas with knowledge and understanding of consumer goods data with the knowledge of industry trend
Professional experience in advanced analytics


Proficient in Python/R, advanced ML/AI algorithms, SQL, optimization
Experience with data science frameworks (e.g. Scikit-learn/Pandas etc.) and deep learning frameworks (e.g. Keras/Pytorch etc.)

Experience with R/Python, advanced AL/AI algorithms, SQL, optimization
Preferred but not essential: GCP certifications, DAX
Excellent problem solving skills, communication skills & stakeholder management, with the ability to simplify technical output into business language
Strong project management experience and flexibility to work across multiple time zones
Growth mindset with ability to stay current with solution trends
","['Machine Learning', 'SQL', 'Problem Management', 'Value Creation', 'Data Architecture', 'Statistics', 'GCP', 'Data Science', 'Statistical Knowledge', 'Stakeholder Management', 'Data Analytics']"
