job_title,address,employment_type,seniority,min_experience,job_categories,salary_type,salary_range,job_description,job_skills
Data Engineer,1 DEPOT CLOSE 109841,Permanent,Professional,6 years exp,Information Technology,Monthly,"$7,000to$13,000","Hewlett Packard Enterprise is an industry leading Technology Company that enables customers to go further, faster. With the industry’s most comprehensive portfolio, spanning the cloud to the data center to workplace applications, our technology and services help customers around the world make IT more efficient, more productive and more secure.

We have an open position for Data Engineer to join the Global Digital Technology and Innovation team.  This team drives the adoption of new Big Data technologies and advanced analytics for a $26B worldwide business.  The team leads key initiatives across the world sponsored by senior leadership and is responsible for data analytics led innovations and business process improvement.

Key Responsibilities:

Understand business requirement to build reliable data infrastructure using big data technologies
Work with the data engineering team to develop & maintain data pipelines for batch & stream processing.
Build tools suitable to provide data 24x7 for a global team, thru acquiring, monitoring and root cause analysis of data issues
Identify, design, and implement internal process improvements and tools to automate data processing and ensure data integrity while meeting data security standards
Build tools for better discovery and consumption of data for various consumption models in the organization – DataMarts, Warehouses, APIs, Adhoc Data explorations
Architect and create data views from big data store to feed into analysis engines, visualization engines etc.
Work with data scientist and business analytics team to assist in data ingestion and data-related technical issues


Qualifications, Experience & Knowledge Required :

Bachelor’s degree in IT, Computer Science, Software Engineering, Business Analytics or equivalent
Advanced university degree would be additional advantage
Possess 6 years of experience in data warehousing / distributed system (e.g. Hadoop)
Experience with relational SQL and NoSQL DB
Expert in building and optimizing ‘big data’ data pipelines, architectures, and data sets
Experience in data ingestion, cleaning and processing tools.
Excellent experience in data processing using Scala/Python/Java
Proficient in Big data tools and ecosystem (e.g. HIVE, HBase, Kafka, Spark, ...)
Knowledge & practices of SDLC process and agile methodologies
Strong in user requirements gathering, maintenance, and support
Highly organized, self-motivated, pro-active, and able to plan
Experience managing users and vendors is a plus
","['Microsoft Technologies', 'Microsoft Office', 'Scala', 'Data Analysis', 'Innovation', 'Big Data', 'Hadoop', 'efficient', 'Information Technology', 'Data Centre', 'Spark', 'Project Management', 'Engineering', 'help customers', 'HBase', 'Linux', 'Data']"
Senior Data Analyst,"NANYANG TECHNOLOGICAL UNIVERSITY, 50 NANYANG AVENUE 639798","Contract, Full Time",Manager,5 years exp,Information Technology,Monthly,"$4,500to$8,000","Responsibilities:

leading the implementation of Student Data Governance (SDG) framework across Student Admin Departments, Colleges, and Schools; Secretariat support to the SDG Steering Committee Meetings
leading and conducting Data Quality (DQ) Assurance programme across different data areas and monitor DQ via developing DQ dashboard
developing and managing student data catalogue for management reporting and data analytics projects
driving the adoption of NTU Education Dashboards to support decision-making at different level of the University
leading, developing, and managing data analytics projects to provide enhanced insights from student data, such as student profiling, data analysis to support policy maker in relevant policies, predictive analysis of students at-risk, degree programme quality assurance analysis, student quantitative or qualitative feedback analysis using Natural Language Processing (NLP)
training staff in data-related framework, concepts, and competency in data analytics
supporting business data users in student data migration activities (including profiling, cleansing, mapping of data) during the Student Management System (SMS) project implementation

[The role is expected to lead and facilitate, in addition to execution.]
Requirements:

Bachelor / Master’s degree in data sciences / computer science / mathematics
More than 5 years’ working experiences in data analytics / data governance
Possesses technical expertise in data models, database design & development, data mining & machine learning; knowledge in Natural Language Processing (NLP) is an advantage
Good knowledge of and experience with data visualisation tools (e.g., Qlik Sense), and programming languages including Python/R and SQL
Experience in planning and developing data analytic projects to support business needs
Ability to communicate effectively with business users on data-related requirements and outcomes
","['Machine Learning', 'Dashboard', 'Data Analysis', 'Predictive Analysis', 'Natural Language Processing', 'Mathematics', 'Data Quality', 'Data Governance', 'Data Mining', 'SQL', 'Data Migration', 'Database Design', 'Data Analytics', 'Training Staff', 'Data Visualisation']"
Senior Data Engineer,201 JOO CHIAT ROAD 427472,Full Time,Professional,8 years exp,Engineering,Monthly,"$7,000to$10,000","Responsibilities

We have a fantastic opportunity for an experienced Data Engineer to join our global team. This role will play a major part in the delivery of our Group Data Strategy and Data Transformation Journey by delivering, enhancing, and maintaining our company Data Platform which will drive how our data is managed and used to deliver outcomes in a host of key areas to maximise business value and growth delivering improvements for internal and external stakeholders and clients.

This role will be responsible for expanding and optimizing our data and data pipeline architecture. The ideal candidate is an experienced data pipeline builder and data wrangler who will support our software developers, database architects, data analysts and data scientists on data initiatives to navigate and leverage our significant data assets to build the optimal production models. You will ensure optimal data delivery architecture is consistent throughout ongoing projects and you must be self-directed and comfortable supporting the data needs of multiple teams, systems, and products.

Tasks (what does the role do on a day-to-day basis)

Create and maintain optimal data pipeline architecture,
Assemble large, complex data sets that meet functional / non-functional business requirements.
Identify, design, and implement internal process improvements: automating manual processes, optimizing data delivery, re-designing infrastructure for greater scalability, etc.
Build the infrastructure required for optimal extraction, transformation, and loading of data from a wide variety of data sources using SQL and AWS big data technologies.
Build analytics tools that utilize the data pipeline to provide actionable insights into customer acquisition, operational efficiency, and other key business performance metrics.
Work with stakeholders including the Executive, Product, Data and Design teams to assist with data-related technical issues and support their data infrastructure needs
Implement data flows to connect operational systems, data for analytics and business intelligence (BI) systems
document source-to-target mappings
re-engineer manual data flows to enable scaling and repeatable use
write ETL (extract, transform, load) scripts and code to ensure the ETL process performs optimally
develop business intelligence reports that can be reused

Key behaviours we expect to see

In addition to demonstrating our Group Values, the role holder will be expected to demonstrate the following:
Communicates Effectively, Adjusting communication style to fit the audience & message. 
Providing timely information to help others across the organisation. 
Encourages the open expression of diverse ideas and opinions
Action Orientated Readily taking action on challenges without unnecessary planning and identifies new opportunities, taking ownership of them
Interpersonal, Savvy, Relating comfortably with people across all levels, functions, cultures & geographies.
Builds rapport in an open, friendly & accepting way
An analytical mind, excellent problem-solving & diagnostic skills, attention to detail

Required Experience

Education / professional qualifications

Bachelor's degree in computer science or another related field
8+ years of experience in software engineering.
Background in Financial Industry preferred.

Background & Technical experience

Proficiency in Linux fundamentals and Bash scripting skills.
Programming expertise in one or more languages, mainly: Python, Go, Scala, C++, Kotlin
Expertise on Python libraries - Pandas, Numpy, PySpark, Dask.
In-Depth Knowledge of Algorithms and Data Structures
Deep understand of database systems e.g., PgSQL/MySQL and Microsoft SQL server
Experience with at least one cloud platforms e.g., AWS, Azure, GCP
Experience with one or more Datalakes/Datawarehouses - Snowflake / DataBricks / Redshift etc
Experience in Stream processing - Kafka, Kineses etc
Basic Experience with Node.js and JavaScript.
Experienced in the implementation of Data warehousing solutions
Experienced in the implementation of API solutions and tooling
","['PySpark', 'Business Intelligence', 'Pandas', 'Scalability', 'Scala', 'Azure', 'Big Data', 'Data Transformation', 'Software Engineering', 'Scripting', 'ETL', 'SQL', 'Python', 'GCP', 'Data Warehousing', 'Linux']"
delivery manager (data) – 14k,"ONE RAFFLES PLACE, 1 RAFFLES PLACE 048616",Permanent,Manager,8 years exp,Information Technology,Monthly,"$8,000to$14,000","We’re looking for an experienced Delivery Manager who has experience in delivering enterprise-wide data programs / projects, and ability to manage stakeholders, business, and other IT delivery at different levels.

About the role

-Stakeholder Management & Communications
-Delivery and Resource Management
-Financial Management
-Contract Management
-Data Domain Expertise

Skills and experience required

Bachelor’s degree in Business Management, IT, Computer Science, Computer Engineering or equivalent
Minimum 10 years of experience in delivering large scale data programs in big data, data warehouse, BI & reporting and / or data management
Experience in delivering projects in agile delivery methodologies
Experience in working with cross functional teams comprises of IT, business, data product owners and vendors
Experience in procurement process – managing tenders and negotiating contracts
Experience in IT financial management, budgeting and project cost controlling
Experience in senior stakeholder management

To apply online please use the apply function, alternatively you may contact Chloe Chen at chloe.chen(@)randstad.com.sg. (EA: 94C3609 /R1768253)","['Big Data', 'Financial Management', 'Data Management', 'Contract Management', 'Agile', 'Procurement', 'Project Management', 'Banking', 'Budgeting', 'Customer Satisfaction', 'Resource Management', 'Stakeholder Management', 'Project Cost', 'Service Delivery']"
Data Manager,"INTERNATIONAL PLAZA, 10 ANSON ROAD 079903","Permanent, Full Time",Professional,3 years exp,Information Technology,Monthly,"$4,500to$7,000","
Working Location: Buona Vista
Monday to Friday


Job Description:

To provide services for management information delivery via the global data warehouse.
Design and develop enterprise Data Warehouse components including Architecture, Database, ETL processes for the daily data loading from SAP and other application systems and the OBIEE related modelling
Implementation of new requirements in close cooperation with team in Munich
Design source to target mapping and ETL test cases
Develop code to load data mart tables and develop Oracle DB objects including tables, indexes, constraints, and views
Perform tuning of the data load procedures to reduce data load time
Develop Oracle PL/SQL packages, SQL & UNIX scripts, ETL and job scheduling systems, OBIEE (backend) components in the Data Warehouse environment
Provide analysis and resolution of data discrepancy issues


Job Requirements:

Degree in Information Management or Industrial Engineering with minimum 3 years of experience in Oracle data warehouse environments, good understanding of data warehouse concepts in a manufacturing environment will be an added advantage

HOW TO APPLY:
Interested applicants, please click on “Apply Now” or email to submit your resume.
We regret only shortlisted candidates will be notified.
Stafflink Services Pte Ltd
EA Licence No.: 04C4294
EA Personnel: Astrid Tan
EA Personnel Reg. No.: R22107644","['OBIEE', 'Oracle', 'Information Management', 'Data Management', 'Industrial Engineering', 'ETL', 'Unix', 'Data Quality', 'Test Cases', 'Data Governance', 'Tuning', 'SQL', 'SAP', 'Scheduling', 'Manufacturing']"
Data Engineer,111  Somerset Rd 238164,Full Time,Senior Executive,3 years exp,Engineering,Monthly,"$8,300to$12,000","About the role
As Data Engineer you'll join one of our mission oriented squads or platform teams.
Data is key in all of our products, and your contributions will have a big impact.
You can be located anywhere in the world, as our work is 100% online. The position is full-time.
Responsibilities

Design, develop and support data pipelines, warehouses and reporting systems to solve business operations, users and product problems
Work closely with product engineers to create, test and maintain data models
Collaborate and influence stakeholders and support engineers to ensure our data infrastructure meets constantly evolving requirements
Work closely with analysts to create data analytics and research platform
Contribute to engineering efforts from planning and organization to execution and delivery to solving complex engineering problems
Take initiative and be responsible for technical solutions to data quality and workflow challenges
Write and review technical documents, including design, development, and revision documents.‍

Are you the right person for this role?
The ideal candidate for us has:

3+ years work experience as a Data Engineer or similar role
Experience with building data pipelines using Python and SQL
Experience designing data models and data warehouses
Experience in computer science, data structures, algorithms and software design
Experience with the following: BigQuery, Postgres, Airflow, Kubernetes, dbt

The following are nice-to-haves:

Experience with Data Visualization tools
Experience with Ethereum and the crypto markets (either professionally or as a hobby)
","['Postgres', 'Kubernetes', 'Big Data', 'Pipelines', 'Data Structures', 'Hadoop', 'ETL', 'Data Quality', 'Computer Science', 'Data Engineering', 'DBT', 'SQL', 'Python', 'Software Design', 'Java', 'Data Analytics', 'Databases', 'Algorithms', 'Data Visualization']"
 , , , , , , , , , 
 , , , , , , , , , 
Data Engineer,"MAPLETREE BUSINESS CITY, 20 PASIR PANJANG ROAD 117439",Contract,Executive,3 years exp,Information Technology,Monthly,"$5,000to$8,000","About Us
Green Link Digital Bank is Singapore's inaugural wholesale digital bank focusing on supply chain finance, mainly serving MSMEs and aiming to help MSMEs grow and improve digitization.

We are looking for a Data Engineer joining our Data Management Office (DMO). The DMO provides comprehensive data services to all business units, and manages data governance policies and procedures. We apply best practices in managing our data assets and making it our competitive advantages to serve our customers better. We are embarking on a greenfield project to build our big data platform with the latest technologies. We invite the best talent to join us on this exciting journey.

Responsibilities

Design, develop and test a custom distributed big data platform using the latest technologies
Design, create and maintain physical data models optimised for performance, security, privacy, and maintenance
Design and develop real-time and batch ETL/ELT processes that ingest and transform a variety of data sources into data warehouse and data lake
Design and build data reconciliation processes to ensure data completeness and accuracy
Diagnose and remediate production issues
Provide training to users and other team members on technical aspects of data flow, procedures, and use of tools to consume the data effectively
Create and maintain documentations of technical solutions such as solution design, system architecture, technical specifications, and user manuals


Requirements

In-depth knowledge of concepts and practices building big data platforms, including data warehouse, data mart, and data lake
Practical experience in big data technologies, such as Hive, Spark, Kafka, Sqoop, Greenplum and any other RDBMS
Proficient with SQL, Stored Procedures, Shell, Python, and Java
Familiar with Elasticsearch or other NoSQL databases
Experiences in CI/CD and containerization are added advantages
Passionate for technical excellence and eager to learn new technologies
Committed to rigorous quality standards
","['Big Data', 'Greenplum', 'Creating technical specifications', 'ETL', 'NoSQL', 'Data Engineering', 'Spark', 'SQL', 'ElasticSearch', 'Python', 'RDBMS', 'Data Marts', 'Data Warehouse Architecture', 'Hive', 'Java', 'System Architecture', 'Sqoop', 'Technical Solution Design']"
Data Engineer Senior Manager,"RAFFLES CITY TOWER, 250 NORTH BRIDGE ROAD 179101",Permanent,Senior Management,12 years exp,Information Technology,Monthly,"$15,000to$22,000","About Accenture
Accenture is a global professional services company with leading capabilities in digital, cloud and security. Combining unmatched experience and specialized skills across more than 40 industries, we offer Strategy and Consulting, Technology and Operations services and Accenture Song — all powered by the world’s largest network of Advanced Technology and Intelligent Operations centers. Our 721,000 people deliver on the promise of technology and human ingenuity every day, serving clients in more than 120 countries. We embrace the power of change to create value and shared success for our clients, people, shareholders, partners and communities.

Data Engineer Lead – Senior Manager
Key Responsibilities

Developing, testing and implementing business systems of the highest complexity
Ensures cross team integration and proper hand-offs of      code/tasks to meet schedules
Designs reusable software components and incorporates      reusable assets into the application design
Research and evaluate Data Engineering tools and frameworks
Participate on POCs and assist in client presentations
Assist engineering leadership in hiring and interviewing top talent
Mentor junior staff conduct design/code/test reviews
Assist in developing centre of excellence, best practices, documentation, re-usable assets
Proficient in distributed architecture, understanding of required infrastructure setup
Mentor junior team members

Qualifications

15+ years of experience with significant experience in the Data Engineering space
Experience in designing and building robust and highly scalable data platform and data pipelines
Experience with leading a team of experienced Data Engineers
Prior experience working in the consulting space will be highly advantageous
Strong programming proficiency using 1 or 2 of the following languages: Scala, Python, Java
Extensive experience with data modelling and designing/supporting both streaming and batch ETL pipelines
Clear understanding of distributed computing, especially in databases
Hands-on in SQL and NOSQL with a deep understanding of query optimization
Experience with open-source technologies (Spark, Kafka, Presto, Hive, Cassandra etc.)
Experience working on any of the Cloud platforms (GCP, AWS, Azure)
Good to have: Certification for Data Engineers or Solution Architect in 1 or more Cloud Technologies (AWS, GCP, Azure)
Strong communications skills and presentation skills to C levels
Ability to manage numerous requests concurrently and be able to prioritize and deliver

You will also have opportunities to hone your functional skills and expertise in an area of specialization. We offer a variety of formal and informal training programs at every level to help you acquire and build specialized skills faster. Learning takes place both on the job and through formal training conducted online, in the classroom, or in collaboration with teammates. The sheer variety of work we do, and the experience it offers, provide an unbeatable platform from which to build a career.

Accenture is an equal opportunities employer and welcomes applications from all sections of society and does not discriminate on grounds of race, religion or belief, ethnic or national origin, disability, age, citizenship, marital, domestic or civil partnership status, sexual orientation, gender identity, or any other basis as protected by applicable law.","['Leadership', 'Classroom', 'Scala', 'Azure', 'Pipelines', 'Architect', 'ETL', 'Cassandra', 'NoSQL', 'Data Engineering', 'Spark', 'SQL', 'Python', 'Apache Kafka', 'Hive', 'GCP', 'Java', 'Design Research', 'Databases']"
