Title,Address,Latitude,Longitude,Classification,Planning Area,Region,Region Type,Property Type,AltClass,NUM_STOPS,num_hdb,TOTAL_TAP_OUT_VOLUME,TOTAL_TAP_IN_VOLUME
McDonald's Tampines East CC,"10 Tampines St 23, #01-01 Tampines East Community Centre, Singapore 529341",1.3533873,103.9545991,Medium,Tampines,East,OCR,State,higher,21,119,199.0,474.0
McDonald's Tampines Mall,"4 Tampines Central 5, #01 - 33 Tampines Mall, Singapore 529510",1.3527391,103.9449785,Medium,Tampines,East,OCR,Retail,higher,15,57,308.0,450.0
McDonald's Tampines West CC,"5 Tampines Ave 3, #01-01 Tampines West Community Club, Singapore 529705",1.3488069,103.9357863,Medium,Tampines,East,OCR,State,higher,18,106,4468.0,8690.0
McDonald's Bedok Reservoir,"632 Bedok Reservoir Rd, #01-850, Singapore 470632",1.332194,103.913711,Low,Bedok,East,OCR,,lower,11,74,122.0,271.0
McDonald's Pasir Ris Sports Complex,"120 Pasir Ris Central, #01-12 Sports Centre, Singapore 519640",1.3740876,103.9519247,High,Pasir Ris,East,OCR,State,higher,12,31,0.0,16.0
McDonald's Changi City Point,"5 Changi Business Park Central 1 01-10/11 Changi City Point, 5 Changi Business Park Central 1, #01 - 10 / 11, Singapore 486038",1.334552,103.9624183,Medium,Tampines,East,OCR,Retail,higher,17,0,609.0,862.0
McDonald's Bedok North,"539 Bedok North Street 3, #01-643 Kaki Bukit Mall, Singapore 460539",1.3320011,103.9257593,Medium,Bedok,East,OCR,Retail,higher,18,68,4464.0,7224.0
McDonald's Bedok Reservoir Park,"Blk 744 Bedok Reservoir Rd, #01-3019, Singapore 470744",1.337286,103.9214796,Medium,Bedok,East,OCR,HDB,higher,9,41,1552.0,1364.0
McDonald's White Sands,"1 Pasir Ris Central St 3, #01-28/29 White Sands, Singapore 518457",1.3723603,103.9493564,Low,Pasir Ris,East,OCR,Retail,lower,20,66,13739.0,950.0
McDonald's Tampines Green View,"Blk 614 Tampines North Dr. 1, #01-09, Singapore 520614",1.365567,103.9366465,Medium,Tampines,East,OCR,HDB,higher,12,57,460.0,529.0
McDonald's Loyang Point,"258 Pasir Ris Street 21 01-25 Loyang Point, Singapore 510258",1.3669641,103.9645341,Medium,Pasir Ris,East,OCR,Retail,higher,17,73,1204.0,1578.0
McDonald's Tampines Mart (TN3),"5 Tampines Street 32, #01-01 Tampines Mart, Singapore 529284",1.3539205,103.9595183,Medium,Tampines,East,OCR,,higher,17,102,415.0,443.0
McDonald's Shell Tampines,"9 Tampines Ave 2, Singapore 529731",1.3491458,103.9476641,High,Tampines,East,OCR,,higher,11,67,41.0,31.0
McDonald's Eastpoint Mall,"3 Simei Street 6, #01-34 Eastpoint Mall, Singapore 528833",1.3427303,103.9530181,Medium,Tampines,East,OCR,Retail,higher,14,65,258.0,520.0
McDonald's Our Tampines Hub,"1 Tampines Walk, #01-13/14 Our Tampines Hub, Singapore 528523",1.3532328,103.9405255,Medium,Tampines,East,OCR,State,higher,18,81,377.0,221.0
McDonald's Elias,"93 Pasir Ris Drive 3, #01-02 Elias Community Club, Singapore 519498",1.3784849,103.9426951,Medium,Pasir Ris,East,OCR,State,higher,17,71,1229.0,1365.0
McDonald's Downtown East,"1 Pasir Ris Cl, #01-338, Singapore 519599",1.3771512,103.9549488,Medium,Pasir Ris,East,OCR,,higher,8,21,1885.0,1143.0
McDonald's Sengkang Rivervale,"118 Rivervale Dr, #01-32 Rivervale Plaza, Singapore 540118",1.3851593,103.9013153,Medium,Sengkang,North East,OCR,Retail,higher,16,118,1037.0,519.0
McDonald's @ T3 Public,"65 Airport Blvd., #01-03, Singapore 819653",1.3566264,103.9863923,High,Changi,East,OCR,,higher,2,0,10.0,0.0
McDonald's Paya Lebar Square,"60 Paya Lebar Rd, #01-68 Paya Lebar Square, Singapore 409051",1.3184358,103.8927403,Medium,Geylang,Central,RCR,Retail,higher,17,4,445.0,419.0
McDonald's Bedok Mall,"311 New Upper Changi Road #01-10/11 Bedok Mall, 311 New Upper Changi Rd, Unit #01 - 10 / 11, Singapore 467360",1.3243538,103.929331,Medium,Bedok,East,OCR,Retail,higher,13,56,111.0,390.0
McDonald's Hougang Mall,"90 Hougang Ave 10, #01-16/17 Hougang Mall, Singapore 538766",1.3723045,103.8937585,Low,Hougang,North East,OCR,Retail,lower,19,93,27.0,155.0
McDonald's Hougang 8,"684 Hougang Ave 8, #01-999, Singapore 530684",1.3740205,103.8868674,Medium,Hougang,North East,OCR,,higher,19,109,1774.0,811.0
McDonald’s Jewel,"78 Airport Boulevard Jewel, B1-298 Singapore Changi Airport, Singapore 819666",1.3603912,103.989642,High,Changi,East,OCR,,higher,1,0,3.0,1.0
McDonald's Siglap,"55 Siglap Rd, #01-07/08/09 Siglap Centre, Singapore 455871",1.3125941,103.9231451,Medium,Bedok,East,OCR,,higher,15,0,1589.0,3731.0
McDonald's Geylang East Central,"113 Aljunied Ave 2, #01-01, Singapore 380113",1.3204528,103.8860187,Medium,Geylang,Central,RCR,,higher,9,67,38.0,0.0
McDonald's Rivervale Mall,"11 Rivervale Cres, #01-27 Rivervale Mall, Singapore 545082",1.3920163,103.9048267,Medium,Sengkang,North East,OCR,Retail,higher,17,122,3670.0,1627.0
McDonald's Hougang,"Blk 208 Hougang St 21, #01-217, Singapore 530208",1.3585041,103.8863533,Low,Hougang,North East,OCR,HDB,lower,13,29,16431.0,18759.0
