blk_no,street,max_floor_lvl,year_completed,residential,commercial,market_hawker,miscellaneous,multistorey_carpark,precinct_pavilion,bldg_contract_town,total_dwelling_units,1room_sold,2room_sold,3room_sold,4room_sold,5room_sold,exec_sold,multigen_sold,studio_apartment_sold,1room_rental,2room_rental,3room_rental,other_room_rental,address,latitude,longitude,polygon
1,BEACH RD,16,1970,Y,Y,N,N,N,N,KWN,142,0,1,138,1,2,0,0,0,0,0,0,0,1 BEACH RD,1.29509740789339,103.85406834457,CITY HALL
1,BEDOK STH AVE 1,14,1975,Y,N,N,Y,N,N,BD,206,0,0,204,0,2,0,0,0,0,0,0,0,1 BEDOK STH AVE 1,1.32085208990817,103.933721096337,BEDOK SOUTH
1,CANTONMENT RD,2,2010,N,Y,N,N,N,N,CT,0,0,0,0,0,0,0,0,0,0,0,0,0,1 CANTONMENT RD,1.27548808568155,103.841419048957,CHINATOWN
1,CHAI CHEE RD,15,1982,Y,N,N,N,N,N,BD,102,0,0,0,10,92,0,0,0,0,0,0,0,1 CHAI CHEE RD,1.32796879176302,103.922716018139,KEMBANGAN
1,CHANGI VILLAGE RD,4,1975,Y,Y,N,N,N,N,PRC,55,0,0,54,0,1,0,0,0,0,0,0,0,1 CHANGI VILLAGE RD,1.38854656229022,103.987804503483,CHANGI POINT
1,DELTA AVE,25,1982,Y,N,N,N,N,N,BM,96,0,0,0,0,96,0,0,0,0,0,0,0,1 DELTA AVE,1.2920752508431,103.828584077626,BUKIT HO SWEE
1,DOVER RD,12,1975,Y,N,N,Y,N,N,QT,125,0,0,118,0,7,0,0,0,0,0,0,0,1 DOVER RD,1.30252574694853,103.783273166817,DOVER
1,EUNOS CRES,14,1977,Y,N,N,Y,N,N,GL,247,0,0,0,0,0,0,0,0,0,247,0,0,1 EUNOS CRES,1.3206576452482,103.90246344511,GEYLANG EAST
1,EVERTON PK,12,1980,Y,Y,N,N,N,N,BM,95,0,0,62,0,33,0,0,0,0,0,0,0,1 EVERTON PK,1.27742654288695,103.840001188095,EVERTON PARK
1,GEYLANG SERAI,2,2009,N,Y,N,N,N,N,GL,0,0,0,0,0,0,0,0,0,0,0,0,0,1 GEYLANG SERAI,1.31649443408571,103.896941669743,GEYLANG EAST
1,GHIM MOH RD,15,1975,Y,N,N,Y,N,N,QT,220,0,0,216,0,4,0,0,0,0,0,0,0,1 GHIM MOH RD,1.31287975684307,103.786855017635,GHIM MOH
1,HAIG RD,15,1976,Y,N,N,Y,N,N,GL,219,0,0,213,0,5,0,0,0,0,0,1,0,1 HAIG RD,1.31129091782202,103.897703436187,GEYLANG EAST
1,HOLLAND CL,13,1973,Y,N,N,Y,N,N,QT,319,0,0,0,0,0,0,0,0,319,0,0,0,1 HOLLAND CL,1.30921937771543,103.796732386696,HOLLAND DRIVE
1,HOUGANG AVE 3,14,1974,Y,N,N,Y,N,N,HG,204,0,0,200,0,4,0,0,0,0,0,0,0,1 HOUGANG AVE 3,1.36413097349222,103.89300132385,KANGKAR
1,JLN KUKOH,17,1969,Y,N,Y,Y,N,N,CT,84,0,0,0,0,0,0,0,0,0,56,14,14,1 JLN KUKOH,1.28825209188554,103.839940269227,PEARL'S HILL
1,JLN BT MERAH,14,1974,Y,Y,N,N,N,N,BM,244,0,0,243,0,0,0,0,0,0,0,1,0,1 JLN BT MERAH,1.28644157642074,103.808286977232,ALEXANDRA HILL
1,JOO CHIAT RD,5,1984,N,Y,N,N,N,N,GL,0,0,0,0,0,0,0,0,0,0,0,0,0,1 JOO CHIAT RD,1.31585905896007,103.898376166223,GEYLANG EAST
1,KG KAYU RD,10,1963,Y,N,N,N,N,N,KWN,107,0,0,106,1,0,0,0,0,0,0,0,0,1 KG KAYU RD,1.30355769675629,103.883796413118,TANJONG RHU
1,LOR LEW LIAN,14,1977,Y,N,N,Y,N,N,SGN,179,0,0,174,0,3,0,0,0,0,0,2,0,1 LOR LEW LIAN,1.35086712646948,103.875343939672,UPPER PAYA LEBAR
1,LOR 7 TOA PAYOH,11,1968,Y,N,N,N,N,N,TP,196,0,0,194,0,2,0,0,0,0,0,0,0,1 LOR 7 TOA PAYOH,1.33943033543358,103.853442790992,LORONG 8 TOA PAYOH
1,MARINE TER,25,1974,Y,Y,N,N,N,N,MP,96,0,0,0,0,96,0,0,0,0,0,0,0,1 MARINE TER,1.30482902187779,103.918614976369,MARINE PARADE
1,MARSILING DR,11,1973,Y,N,N,Y,N,N,WL,159,0,0,158,0,1,0,0,0,0,0,0,0,1 MARSILING DR,1.44067109860246,103.775739945213,WOODLANDS WEST
1,MAUDE RD,14,1970,Y,Y,N,Y,N,N,KWN,176,0,0,0,0,0,0,0,0,0,176,0,0,1 MAUDE RD,1.30754402298124,103.859019708551,LAVENDER
1,PINE CL,19,1998,Y,N,N,N,N,N,GL,156,0,0,0,100,56,0,0,0,0,0,0,0,1 PINE CL,1.30787056219408,103.883192164927,ALJUNIED
1,PUNGGOL DR,6,2022,N,N,N,Y,N,N,PG,0,0,0,0,0,0,0,0,0,0,0,0,0,1 PUNGGOL DR,1.40931684070835,103.905332892455,PUNGGOL TOWN CENTRE
