title,address,latitude,longitude,classification,planning_area,pa_population,pa_income,subzone,subzone_population,subzone_income,makan index,region,region_type,population,size,density,24 hours?,property_type
McDonald's Tampines East CC,"10 Tampines St 23, #01-01 Tampines East Community Centre, Singapore 529341",1.3533873,103.9545991,Medium,Tampines,265690,1.79808E-05,Tampines East,127070,3.31487E-05,6.53,East,OCR,265850,20.89,12726.18,No,State
McDonald's Tampines Mall,"4 Tampines Central 5, #01 - 33 Tampines Mall, Singapore 529510",1.3527391,103.9449785,Medium,Tampines,265690,1.79808E-05,Tampines East,127070,3.31487E-05,6.53,East,OCR,265850,20.89,12726.18,No,Retail
McDonald's Tampines West CC,"5 Tampines Ave 3, #01-01 Tampines West Community Club, Singapore 529705",1.3488069,103.9357863,Medium,Tampines,265690,1.79808E-05,Tampines West,81220,5.57363E-05,6.53,East,OCR,265850,20.89,12726.18,Yes,State
McDonald's Bedok Reservoir,"632 Bedok Reservoir Rd, #01-850, Singapore 470632",1.332194,103.913711,Low,Bedok,278640,1.64131E-05,Kaki Bukit,36280,0.000120354,6.25,East,OCR,278970,21.69,12861.69,Yes,
McDonald's Pasir Ris Sports Complex,"120 Pasir Ris Central, #01-12 Sports Centre, Singapore 519640",1.3740876,103.9519247,High,Pasir Ris,146260,3.13952E-05,Pasir Ris Central,32420,0.000165667,6.37,East,OCR,146410,15.02,9747.67,Yes,State
McDonald's Changi City Point,"5 Changi Business Park Central 1 01-10/11 Changi City Point, 5 Changi Business Park Central 1, #01 - 10 / 11, Singapore 486038",1.334552,103.9624183,Medium,Tampines,265690,1.79808E-05,Xilin,1760,0.004099948,6.53,East,OCR,265850,20.89,12726.18,No,Retail
McDonald's Bedok North,"539 Bedok North Street 3, #01-643 Kaki Bukit Mall, Singapore 460539",1.3320011,103.9257593,Medium,Bedok,278640,1.64131E-05,Bedok North,82480,4.85267E-05,6.25,East,OCR,278970,21.69,12861.69,Yes,Retail
McDonald's Bedok Reservoir Park,"Blk 744 Bedok Reservoir Rd, #01-3019, Singapore 470744",1.337286,103.9214796,Medium,Bedok,278640,1.64131E-05,Bedok Reservoir,25180,0.000203649,6.25,East,OCR,278970,21.69,12861.69,No,HDB
McDonald's White Sands,"1 Pasir Ris Central St 3, #01-28/29 White Sands, Singapore 518457",1.3723603,103.9493564,Low,Pasir Ris,146260,3.13952E-05,Pasir Ris Central,32420,0.000165667,6.37,East,OCR,146410,15.02,9747.67,No,Retail
McDonald's Tampines Green View,"Blk 614 Tampines North Dr. 1, #01-09, Singapore 520614",1.365567,103.9366465,Medium,Tampines,265690,1.79808E-05,Tampines North,16700,0.000237531,6.53,East,OCR,265850,20.89,12726.18,No,HDB
