Ang Mo Kio,161900,13.94
Bedok,278970,21.69
Bishan,85940,7.62
Boon Lay,0,8.23
Bukit Batok,165280,11.13
Bukit Merah,150630,14.34
Bukit Panjang,137730,8.99
Bukit Timah,79940,17.53
Central Water Catchment,0,37.15
Changi,1640,40.61
Changi Bay,0,1.7
Choa Chu Kang,190780,6.11
Clementi,94330,9.49
Downtown Core,3570,4.34
Geylang,109500,9.64
Hougang,227610,13.93
Jurong East,76800,17.83
Jurong West,258700,14.69
Kallang,101300,9.17
Lim Chu Kang,0,17.3
Mandai,2170,11.77
Marina East,0,1.82
Marina South,0,1.62
Marine Parade,46070,6.12
Museum,300,0.83
Newton,9080,2.07
North-Eastern Islands,0,42.88
Novena,50850,8.98
Orchard,590,0.96
Outram,17420,1.37
Pasir Ris,146410,15.02
Paya Lebar,0,11.69
Pioneer,0,12.1
Punggol,186270,9.34
Queenstown,96970,20.43
River Valley,11290,1.48
Rochor,12810,1.62
Seletar,120,10.25
Sembawang,108650,12.34
Sengkang,253250,10.59
Serangoon,118400,10.1
Simpang,0,5.13
Singapore River,3510,0.96
Southern Islands,2240,6.07
Straits View,0,0.77
Sungei Kadut,580,15.99
Tampines,265850,20.89
Tanglin,23270,7.63
Tengah,0,7.4
Toa Payoh,129250,8.17
Tuas,0,30.04
Western Islands,0,39.47
Western Water Catchment,560,69.46
Woodlands,252570,13.59
Yishun,223340,21.24
