results,latitude,longitude
High,1.312080989,103.922408
High,1.316272577,103.9222347
High,1.312286038,103.9171098
High,1.313913714,103.9181008
High,1.310835932,103.9312847
Medium,1.320930519,103.9242622
Medium,1.310712776,103.9180608
Medium,1.319787426,103.9259847
High,1.319185767,103.9137967
High,1.310342848,103.9252458
Medium,1.315963937,103.9282818
High,1.316266001,103.9209471
Medium,1.31474505,103.9072241
Medium,1.315761118,103.9096109
Medium,1.314477882,103.9066643
Medium,1.31875206,103.9266351
Medium,1.319346917,103.921153
High,1.309230188,103.9194451
High,1.315047496,103.9133363
Medium,1.318735076,103.9277499
High,1.311731869,103.9318291
Medium,1.318766365,103.9246511
High,1.315070349,103.9229112
Medium,1.31191104,103.9077212
High,1.314756345,103.9177666
High,1.314947533,103.9201995
High,1.31506995,103.9298115
High,1.312933174,103.9191425
High,1.313126779,103.9263296
High,1.314696769,103.9130257
Medium,1.308510688,103.9086752
Medium,1.320347994,103.9265022
Medium,1.307416038,103.9102788
High,1.312492204,103.9196837
Medium,1.31012788,103.9120519
Medium,1.322465168,103.9242009
Medium,1.322105457,103.9230272
Medium,1.308951538,103.913997
Medium,1.316471073,103.9302997
High,1.31392665,103.9285767
High,1.320424042,103.9181555
High,1.317321065,103.9123496
Medium,1.310284781,103.9083007
Medium,1.315490823,103.9292954
High,1.319699366,103.9160732
Medium,1.308126201,103.9143655
High,1.31467837,103.9283651
Medium,1.312734108,103.9090676
High,1.3201141,103.9186304
Medium,1.321330799,103.920944
Medium,1.308160087,103.9122173
Medium,1.31191104,103.9077212
High,1.314159297,103.9239468
High,1.316546744,103.9223589
High,1.311429132,103.922568
Medium,1.308560852,103.9112739
High,1.308293021,103.9209649
High,1.317021111,103.9147394
High,1.315637139,103.9157504
High,1.315047658,103.9118584
Medium,1.315782223,103.9101769
Medium,1.314517807,103.9086129
Medium,1.318093068,103.926531
Medium,1.315611449,103.9063397
High,1.316995057,103.9239696
High,1.308819206,103.9239126
High,1.317750112,103.9157534
Medium,1.316089787,103.9083845
Medium,1.320883967,103.9257845
Medium,1.313158154,103.9112073
Medium,1.311762028,103.9098305
Medium,1.365023067,103.8741922
Medium,1.369288551,103.8675708
High,1.361699862,103.8641551
High,1.363294474,103.8644718
Medium,1.362946144,103.8712699
High,1.360092312,103.8644539
High,1.357640183,103.8653523
High,1.364229472,103.8622279
Medium,1.35641631,103.8690265
Medium,1.35823688,103.86859
High,1.363040126,103.8636967
Medium,1.357694219,103.8695255
Medium,1.367876957,103.8648124
High,1.360696572,103.8666522
High,1.362489986,103.8650851
Medium,1.365168287,103.8608596
High,1.355977815,103.8619889
High,1.361631979,103.8672603
Medium,1.364765279,103.8700658
High,1.360542055,103.8620069
High,1.359034173,103.8665962
Medium,1.362019233,103.8709514
High,1.367793144,103.865534
High,1.362230593,103.8647643
High,1.359013538,103.8657193
Medium,1.363008394,103.8705625
Medium,1.364880247,103.8606422
Medium,1.367969896,103.8669012
High,1.354594329,103.8642616
High,1.365786077,103.8678608
High,1.357965596,103.861094
High,1.36086453,103.8630796
High,1.366225927,103.8676293
High,1.364182012,103.8642579
Medium,1.361378181,103.8711168
Medium,1.359313009,103.8725676
Medium,1.360560484,103.8719623
High,1.357221084,103.8621325
Medium,1.361847249,103.8698005
Medium,1.369063999,103.8625624
Medium,1.365877479,103.8622064
High,1.361556592,103.8670371
High,1.361597199,103.8650248
Medium,1.36797575,103.8708627
Medium,1.36135407,103.8709084
High,1.360964477,103.8649748
Medium,1.367520789,103.8677473
High,1.354902248,103.8614794
High,1.363800275,103.8644112
High,1.36062021,103.8601143
Medium,1.386981918,103.8726463
Medium,1.388550078,103.8597521
High,1.385753343,103.8635644
Medium,1.383688353,103.8607186
Medium,1.388122373,103.8615864
High,1.38852248,103.8660495
High,1.381810742,103.8669993
Medium,1.389923079,103.8597803
Medium,1.38527232,103.8740646
High,1.38207618,103.8664268
Medium,1.380944322,103.8749697
High,1.38664494,103.8674859
Medium,1.384169071,103.8599697
High,1.386300062,103.8682709
Medium,1.382360242,103.8601852
Medium,1.387188719,103.8593748
Medium,1.380259703,103.8724224
Medium,1.385371356,103.8743695
Medium,1.380240917,103.8641274
High,1.387538545,103.865888
Medium,1.387026974,103.8621125
High,1.38190171,103.8657294
High,1.387415161,103.8665307
High,1.381335118,103.867336
Medium,1.386813955,103.8593707
Medium,1.38846122,103.8592491
Medium,1.385050556,103.8737179
Medium,1.385877044,103.8731001
Medium,1.379956973,103.8658915
High,1.384186646,103.871224
High,1.379892733,103.8719931
High,1.381220651,103.8686999
Medium,1.383488799,103.8600423
Medium,1.379630363,103.8627797
Medium,1.382529037,103.8743117
Medium,1.383795371,103.8745594
Medium,1.381999837,103.8652114
High,1.388680977,103.8648548
High,1.381430693,103.8695242
Medium,1.364236836,103.8850507
Medium,1.364829237,103.8821349
Low,1.367952961,103.8831153
Medium,1.36099366,103.8764466
Medium,1.357228529,103.8769455
Low,1.368162434,103.8829597
Medium,1.365514515,103.875612
Medium,1.362583582,103.8736432
Medium,1.360241805,103.8752534
High,1.363044502,103.8804909
Low,1.367046602,103.8796037
Medium,1.364159657,103.8749175
Low,1.367046873,103.8787511
High,1.359979644,103.8808219
Medium,1.364186904,103.8850235
Low,1.368196877,103.8783529
High,1.358954439,103.8795245
