,Hse,subzone,area,density
0,4670,ADMIRALTY,1.0252956973523055,4554.783573226412
1,0,AIRPORT ROAD,0.39238283126889045,0.0
2,5430,ALEXANDRA HILL,0.8372946550703961,6485.172175789739
3,1870,ALEXANDRA NORTH,0.23865965808544376,7835.42562241714
4,22590,ALJUNIED,2.4065359378359323,9386.936486107066
5,7770,ANAK BUKIT,2.2536463001489606,3447.7459925661014
6,16420,ANCHORVALE,1.2162672981277525,13500.321866152239
7,2000,ANG MO KIO TOWN CENTRE,0.2575096874280351,7766.698099693549
8,230,ANSON,0.08389203582460986,2741.6190075641143
9,0,BAHAR,0.40642660413659965,0.0
10,15980,BALESTIER,1.5656124669483023,10206.868134582677
11,7060,BANGKIT,0.6201906887573062,11383.595606935543
12,0,BAYFRONT SUBZONE,0.42353124606049164,0.0
13,4140,BAYSHORE,2.072539582130269,1997.5493040980589
14,32790,BEDOK NORTH,2.6033594739145376,12595.264053448356
15,9460,BEDOK RESERVOIR,1.9334996781665112,4892.682479766781
16,18840,BEDOK SOUTH,2.435660359739613,7735.068612774118
17,870,BENCOOLEN,0.13868403759486217,6273.252604178802
18,15680,BENDEMEER,1.1188386590799773,14014.531829722158
19,0,BENOI SECTOR,1.6598666856993363,0.0
20,310,BIDADARI,0.46522963004808493,666.3376104569247
21,9930,BISHAN EAST,1.458229978008304,6809.625470436909
22,130,BOAT QUAY,0.13067353733397666,994.8456485703358
23,4280,BOON KENG,0.3339359327025595,12816.829759414493
24,10100,BOON LAY PLACE,0.7364946564393204,13713.60934080604
25,6690,BOON TECK,0.34021084037075955,19664.276401978495
26,710,BOULEVARD,0.37424980548000847,1897.1285745609466
27,3850,BRADDELL,0.3626273660816394,10616.959336525191
28,0,BRAS BASAH,0.17780561217453303,0.0
29,0,BRICKLAND,0.6376828074017177,0.0
30,10960,BRICKWORKS,1.000879023472194,10950.374363904815
31,1080,BUGIS,0.2276734012945833,4743.637130463931
32,9520,BUKIT BATOK CENTRAL,0.6503434941330435,14638.418137311994
33,4580,BUKIT BATOK EAST,0.3089621425172862,14823.82262980246
34,4640,BUKIT BATOK SOUTH,1.4679087329807288,3160.9594627712563
35,5070,BUKIT BATOK WEST,0.4286369623598995,11828.19132556058
36,6440,BUKIT HO SWEE,0.4483425751758476,14364.016171058754
37,390,BUKIT MERAH,0.33456876803625474,1165.6796367727266
38,3790,CAIRNHILL,0.3669260599248789,10329.056488317918
39,1330,CECIL,0.15977443987307982,8324.23509703125
40,2800,CENTRAL SUBZONE,0.87007491476733,3218.1136962772434
41,0,CENTRAL WATER CATCHMENT,30.196523393619906,0.0
42,0,CHANGI AIRPORT,28.985545230993395,0.0
43,0,CHANGI BAY,1.6029637996158195,0.0
44,340,CHANGI POINT,0.8109601628286727,419.2561060139646
45,110,CHANGI WEST,3.9038152768772445,28.177562768285398
46,5620,CHATSWORTH,1.0939084986993817,5137.541217279124
47,10990,CHENG SAN,0.7766442954034237,14150.622189648999
48,0,CHIN BEE,1.0466137214314684,0.0
49,640,CHINA SQUARE,0.10808244460616552,5921.405667054013
50,4710,CHINATOWN,0.4771808074932949,9870.472420595379
51,6890,CHOA CHU KANG CENTRAL,0.8903978723265115,7738.113728862794
52,9020,CHOA CHU KANG NORTH,0.8846714274329496,10195.875802356732
53,10100,CHONG BOON,0.8765240847942805,11522.786624135333
54,290,CITY HALL,0.5774152556827841,502.23820230915055
55,0,CITY TERMINALS,2.8047496694965934,0.0
56,0,CLARKE QUAY,0.23580672169901246,0.0
57,0,CLEANTECH,0.5669172656806607,0.0
58,5890,CLEMENTI CENTRAL,0.6088103011977635,9674.60634028713
59,11830,CLEMENTI NORTH,0.8053500554493916,14689.264525348257
60,6840,CLEMENTI WEST,0.5667983333386335,12067.78425001727
61,6310,CLEMENTI WOODS,0.8597413724218765,7339.41648315102
62,0,CLIFFORD PIER,0.21277640801701744,0.0
63,3410,COMMONWEALTH,0.252344207546394,13513.288191380676
64,7280,COMPASSVALE,0.8883878243830461,8194.619286971545
65,0,CONEY ISLAND,0.9755287402758771,0.0
66,2320,CORONATION ROAD,1.1580512890521804,2003.365500243801
67,4660,CRAWFORD,0.1917743509861623,24299.391321294304
68,2680,DAIRY FARM,1.0043352255746318,2668.431746448636
69,0,DEFU INDUSTRIAL PARK,1.6042347411574298,0.0
70,2730,DEPOT ROAD,0.35941378931777296,7595.701893302406
71,770,DHOBY GHAUT,0.1803984086592829,4268.330334633346
72,4480,DOVER,1.1216791595927114,3994.0119789929195
73,1470,DUNEARN,0.9994376657194207,1470.8270964971653
74,0,EAST COAST,0.48088602433124666,0.0
75,4180,EVERTON PARK,0.5165762380472781,8091.738822135751
76,2050,FABER,0.7704909845986354,2660.6411249158054
77,8250,FAJAR,0.5432120919813553,15187.438059245495
78,3390,FARRER COURT,0.4540586405602506,7465.996012799517
79,1250,FARRER PARK,0.1772372805199317,7052.692279711591
80,22840,FERNVALE,1.943538719196058,11751.759702244437
81,6160,FLORA DRIVE,0.7679311551904653,8021.5523987592
82,0,FOREST HILL,0.8503537723195259,0.0
83,210,FORT CANNING,0.3158887149864473,664.7910800137628
84,13700,FRANKEL,3.491921917079626,3923.340877982066
85,0,GALI BATU,4.214474644997288,0.0
86,0,GARDEN,0.634467633734281,0.0
87,4430,GEYLANG BAHRU,0.597683083754177,7411.9547974726165
88,12720,GEYLANG EAST,2.095271671546305,6070.8118058087775
89,5510,GHIM MOH,0.3945836183818367,13964.087061181539
90,3310,GOMBAK,1.996033105869135,1658.2891287059706
91,930,GOODWOOD PARK,0.2854765158018195,3257.71104984907
92,0,GREENWOOD PARK,1.0412592474593143,0.0
93,4900,GUILIN,0.8817671676165548,5557.022511106711
94,0,GUL BASIN,1.4388010874376989,0.0
95,0,GUL CIRCLE,2.6494350671140476,0.0
96,6010,HENDERSON HILL,0.4837023887073685,12424.995493739323
97,3690,HILLCREST,2.1424667742836045,1722.3137573434985
98,8000,HILLVIEW,1.6200846840721146,4938.013474636303
99,5570,HOLLAND DRIVE,0.3824773032883693,14562.955637136174
100,4880,HOLLAND ROAD,2.752542530428832,1772.9063024649145
101,18850,HONG KAH,1.4574138782683717,12933.86887628424
102,8820,HONG KAH NORTH,0.6981954441526327,12632.565958238847
103,1590,HOUGANG CENTRAL,0.35896773733800225,4429.367418339503
104,8010,HOUGANG EAST,0.6847824199011372,11697.146082045174
105,14920,HOUGANG WEST,1.0798919722975924,13816.196788884366
106,3280,INSTITUTION HILL,0.3190011350652274,10282.095075709763
107,0,INTERNATIONAL BUSINESS PARK,0.39413833546635657,0.0
108,0,ISTANA NEGARA,0.4416425137633812,0.0
109,10400,JELEBU,0.7404805101418022,14044.934144192935
110,0,JOO KOON,1.9091405318360992,0.0
111,3320,JOO SENG,0.8590773490187359,3864.6112643898764
112,770,JURONG GATEWAY,0.45069882859747595,1708.4579571598917
113,0,JURONG ISLAND AND BUKOM,29.773028267751677,0.0
114,0,JURONG PORT,2.002970692182752,0.0
115,0,JURONG RIVER,2.0811066983784365,0.0
116,19670,JURONG WEST CENTRAL,1.1413560308252126,17233.886244749046
117,12330,KAKI BUKIT,2.292367668185905,5378.718331757622
118,0,KALLANG BAHRU,0.6823374461566902,0.0
119,0,KALLANG WAY,0.7829552573772169,0.0
120,830,KAMPONG BUGIS,0.6031251068913698,1376.1655592120676
121,0,KAMPONG GLAM,0.1392285622516848,0.0
122,5120,KAMPONG JAVA,0.8548989987627041,5989.011576116219
123,3780,KAMPONG TIONG BAHRU,0.2968720237755752,12732.759227112445
124,3620,KAMPONG UBI,1.5261031925823763,2372.0545357581373
125,12240,KANGKAR,0.8186550567991625,14951.352096763256
126,4240,KATONG,0.8768035676525147,4835.746746961631
127,11630,KEAT HONG,0.9295028974063784,12512.064279144864
128,9070,KEBUN BAHRU,0.8503562681844568,10666.117648976468
129,13850,KEMBANGAN,1.93994627744949,7139.372961507492
130,0,KENT RIDGE,1.4845106366256613,0.0
131,3490,KHATIB,1.164458411229811,2997.1014562161404
132,0,KIAN TECK,1.7050156085498,0.0
133,2860,KIM KEAT,0.3004837764458038,9517.98474389794
134,8760,KOVAN,1.583505761609099,5532.029129529922
135,0,KRANJI,2.9678427871340127,0.0
136,0,LAKESIDE (BUSINESS),0.9190335525805221,0.0
137,420,LAKESIDE (LEISURE),1.6066103907522797,261.41994500816037
138,6030,LAVENDER,0.6150899033292301,9803.444939287861
139,3350,LEEDON PARK,1.6565308785132655,2022.298553834759
140,3880,LEONIE HILL,0.29943363819085395,12957.796002621968
141,0,LIM CHU KANG,14.217649186009115,0.0
142,1220,LITTLE INDIA,0.22615349772521826,5394.566134379793
143,0,LIU FANG,1.9006312452589875,0.0
144,2710,LORONG 8 TOA PAYOH,0.3572681059228258,7585.339847227763
