title,Energy,Protein,Total Fat,Saturated Fat,Cholesterol,Carbohydrates,Dietary Fibres,Sodium
Quarter Pounder® with Cheese,507.0,32.0,25.0,13.0,89.0,38.0,3.0,1265.0
Double Quarter Pounder® with Cheese,717.0,50.0,40.0,20.0,154.0,39.0,4.0,1698.0
Cheeseburger,303.0,16.0,12.0,6.0,40.0,32.0,2.0,860.0
Double Cheeseburger,443.0,27.0,22.0,12.0,79.0,34.0,3.0,1360.0
McSpicy®,541.0,23.0,28.0,6.0,76.0,50.0,4.0,1269.0
Double McSpicy®,833.0,38.0,46.0,9.0,140.0,66.0,6.0,2161.0
Filet-O-Fish®,332.0,15.0,13.0,5.0,36.0,38.0,2.0,562.0
Double Filet-O-Fish®,466.0,24.0,20.0,8.0,64.0,48.0,3.0,756.0
Hamburger,253.0,14.0,8.0,4.0,28.0,31.0,2.0,690.0
McChicken®,391.0,15.0,18.0,3.0,38.0,42.0,2.0,751.0
Big Mac®,558.0,28.0,28.0,11.0,68.0,48.0,4.0,1321.0
Buttermilk Crispy Chicken,739.0,26.0,42.0,7.0,65.0,64.0,4.0,1422.0
Chicken McCrispy® (2pc),689.0,39.0,41.0,8.0,135.0,42.0,3.0,1895.0
Chicken McCrispy® (6pc),2068.0,117.0,122.0,25.1,406.0,125.0,10.3,5685.0
Chicken McNuggets® (6pc),273.0,14.0,16.0,2.0,44.0,17.0,1.0,506.0
Chicken McNuggets® (9pc),409.0,21.0,24.0,3.0,66.0,26.0,2.0,759.0
Chicken McNuggets® (20pc),910.0,46.0,54.0,7.0,147.0,57.0,4.0,1686.0
McWings® (4pc),603.0,35.0,41.0,8.0,175.0,25.0,3.0,1363.0
Grilled Chicken McWrap®,361.0,23.0,18.0,5.0,83.0,29.0,3.0,992.0
Grilled Chicken Salad,173.0,20.0,7.0,2.0,72.0,7.0,1.0,533.0
Garden Side Salad,21.0,1.0,0.0,0.0,0.0,4.0,1.0,10.0
Happy Sharing Box® A,1730.0,101.0,109.0,20.0,480.0,85.0,6.0,3698.0
Happy Sharing Box® B,865.0,50.0,54.0,10.0,240.0,43.0,3.0,1849.0
Chicken McNuggets® (4pc) Happy Meal®,204.0,10.0,12.0,1.0,33.0,13.0,1.0,378.0
Big Breakfast®,496.0,27.0,22.0,6.0,418.0,47.0,5.0,971.0
Breakfast Deluxe,805.0,31.0,29.0,10.0,487.0,104.0,6.0,1123.0
Hotcakes,557.0,9.0,18.0,6.0,20.0,91.0,3.0,685.0
Hotcakes with Sausage,619.0,16.0,21.0,7.0,51.0,92.0,4.0,974.0
Hotcakes (2pc) Happy Meal®,430.0,6.0,15.0,5.0,14.0,69.0,2.0,501.0
Breakfast Wrap Chicken Sausage,472.0,22.0,24.0,9.0,236.0,44.0,5.0,1353.0
Breakfast Wrap Chicken Ham,430.0,17.0,21.0,8.0,222.0,43.0,4.0,1201.0
Egg McMuffin®,289.0,18.0,11.0,5.0,236.0,29.0,3.0,574.0
Chicken Muffin,407.0,16.0,21.0,6.0,49.0,38.0,4.0,847.0
Sausage McMuffin®,258.0,16.0,9.0,4.0,43.0,29.0,4.0,653.0
Chicken Muffin with Egg,481.0,23.0,26.0,7.0,256.0,39.0,4.0,921.0
Sausage McMuffin® with Egg,337.0,23.0,14.0,6.0,264.0,30.0,4.0,732.0
Sausage McMuffin® Meal,355.0,21.0,12.0,5.2,141.0,41.0,5.0,740.0
Sausage McMuffin® with Egg Meal,434.0,28.0,17.0,6.8,362.0,42.0,5.0,820.0
Egg McMuffin® Meal,366.0,23.0,12.0,5.2,335.0,41.0,5.0,670.0
Chicken Muffin Meal,482.0,22.0,21.0,5.9,151.0,50.0,5.0,930.0
Filet-O-Fish® Meal,403.0,15.0,13.0,3.5,90.0,38.0,2.0,570.0
Cheeseburger Meal with Dasani® Drinking Water,396.0,21.0,13.0,6.4,141.0,50.0,5.0,810.0
Filet-O-Fish® Meal with Dasani® Drinking Water,421.0,16.0,13.0,3.5,90.0,42.0,3.0,580.0
McChicken® Meal with Dasani® Drinking Water,483.0,19.0,18.0,3.5,41.0,61.0,6.0,860.0
